Name,Common name,SMILE,Odor,target,Odor Class,ABCIndex,Acidic Group Count,Basic Group Count,Adjacency Matrix,Aromatic Atom Count,Aromatic Bond Count,Atom Count,Autocorrelation ATS,Autocorrelation ATSC,BalabanJ,Barysz Matrix ,BCUT,BertzCT,BondCount,CarbonTypes,Chi,ConstitutionalSum,ConstitutionalMean,DistanceMatrix,EccentricConnectivityIndex,AtomTypeEState,EtaCoreCount,EtaShapeIndex,EtaVEMCount,FragmentComplexity,Framework,HBondAcceptor,HBondDonor,InformationContent,VMcGowan,LabuteASA,MID,PathCount,APol,Bpol,RingCount,nRot,SLogP,JGT10,Diameter,TopoShapeIndex,TopoPSA,Vabc,VAdjMat,MWC01,MW,WPath,Zagreb1
hexenyl cyclopentanone,hexenyl cyclopentanone,CCCC=CCC1CCCC1=O,"oily,jasmin,coconut",0,Jasmine,8.554231059,0,0,0.241791217,0,0,30,1861.162484,939.7052275,1.984497805,36.76520693,16.0100498,169.842926,30,1,8.811554788,16.59124934,0.553041645,40.65587962,155,0,5.833333333,0.142857143,8.75,12.01,0.166666667,1,0,1.136477335,152.26,74.85476009,23.47584225,12,31.174274,18.925726,1,4,3.102,0.342014748,8,1,17.07,189.9731465,4.584962501,12,166.1357652,235,52
2-hexylidene cyclopentanone,2-hexylidene cyclopentanone,CCCCCC=C1CCCC1=O,"warm,jasmin,spciy",0,Jasmine,8.554231059,0,0,0.241791217,0,0,30,1861.162484,939.7052275,1.984497805,36.58663836,16.01004989,179.443134,30,1,8.811554788,16.59124934,0.553041645,40.65587962,155,0,5.833333333,0.142857143,8.75,12.01,0.166666667,1,0,1.136477335,152.26,74.85476009,23.47584225,12,31.174274,18.925726,1,4,3.2461,0.342014748,8,1,17.07,189.9731465,4.584962501,12,166.1357652,235,52
Methyl jasmonate,Methyl jasmonate,CCC=CCC1C(CCC1=O)CC(=O)OC,"jasmin, flower, oily ",0,Jasmine,11.45160787,0,0,0.205262664,0,0,36,2663.658856,1266.145245,2.360584133,56.37889962,16.0146528,280.9022939,36,1,11.96625533,20.56267535,0.571185426,63.04071054,231,0,7.5,0.222222222,13,16.03,0.138888889,3,0,1.300503731,187.88,96.85971164,31.20966311,16,37.45186,23.53614,1,5,2.5011,0.453928402,10,1,43.37,239.5091119,5,16,224.1412445,482,72
methyl-epi jasmonate,methyl-epi jasmonate,CCC=CCC1C(CCC1=O)C(=O)OC,"floral,fresh,petal",0,Jasmine,10.70406097,0,0,0.215615284,0,0,33,2517.362607,1177.522167,2.412972485,47.88900898,16.01465225,268.0407971,33,1,11.25914855,19.02084755,0.57638932,54.38900677,201,0,7,0.238095238,12.5,15.03,0.151515152,3,0,1.322179346,173.79,90.49476953,29.20416744,15,34.448274,21.529726,1,4,2.111,0.448475526,9,0.8,43.37,222.2131267,4.906890596,15,210.1255944,390,68
amyl cinnamyl acetate,amyl cinnamyl acetate,CCCCCC(C=CC1=CC=CC=C1)OC(=O)C,"floral,jasmin,chocolate",0,Jasmine,12.94670166,0,0,0.209735353,6,6,40,2842.515346,1325.307284,2.203243324,69.01313543,16.01398963,367.9431672,40,2,13.21733218,23.38970405,0.584742601,82.4365569,301,0,8.666666667,0.153846154,18.25,18.02,0.15,2,0,1.219240705,215.68,109.6662886,35.395629,18,42.993446,24.674554,1,7,4.2118,0.334331032,11,0.833333333,26.3,266.4339227,5.169925001,18,246.1619799,714,78
benzyl butarate,benzyl butarate,CCCC(=O)OCC1=CC=CC=C1,"fresh,fruity,jasmin",0,Jasmine,9.301777955,0,0,0.251691477,6,6,27,2113.066229,936.5369934,2.027147908,37.22319145,16.01398339,254.0526058,27,2,9.518661569,16.22239284,0.600829364,46.14877597,180,0,6.166666667,0.135135135,14.75,13.02,0.222222222,2,0,1.297231328,149.53,78.53118102,25.53037717,13,29.309102,16.648898,1,4,2.5299,0.339344025,9,0.8,26.3,182.5904556,4.700439718,13,178.0993797,290,56
dihydrojasmone,dihydrojasmone,CCCCCC1=C(CCC1=O)C,"fresh,outdoor,jasmin",0,Jasmine,8.623180745,0,0,0.246396237,0,0,30,1861.162484,939.7052275,2.199542733,34.56714948,16.0100499,201.0496522,30,2,8.974691495,16.59124934,0.553041645,37.47202587,138,0,5.833333333,0.228571429,8.75,12.01,0.166666667,1,0,1.136477335,152.26,74.85476009,23.34368112,12,31.174274,18.925726,1,4,3.2461,0.442535613,7,0.75,17.07,189.9731465,4.584962501,12,166.1357652,216,54
Methyl tridecyl ketone,2-pentadecanone,CCCCCCCCCCCCCC(=O)C,"fresh, jasmin, celery",0,Jasmine,10.82538132,0,0,0.229143574,0,0,46,2450.411736,1336.090623,2.880310191,85.27689967,16.01005251,151.5139411,45,2,12.06263164,23.84221616,0.518309047,86.60958564,321,0,7.833333333,0.170212766,9.25,15.01,0,1,0,1.049429852,223.78,102.0099627,30.66157027,15,45.85579,30.96421,0,12,5.2765,0.204799219,14,1,17.07,274.1500053,4.906890596,15,226.2296656,667,60
amyl cyclopentenone,amyl cyclopentenone,CCCCCC1=CCCC1=O,"woody,jasmin,tube rose",0,Jasmine,7.847124278,0,0,0.260897502,0,0,27,1714.866235,856.4920065,2.053767478,30.87816528,16.0100496,167.7115907,27,1,8.104448007,15.04942153,0.557385983,33.23256364,125,0,5.333333333,0.15625,8.25,11.01,0.185185185,1,0,1.154173393,138.17,68.48981797,21.4751353,11,28.170688,16.919312,1,4,2.856,0.363536292,7,0.75,17.07,172.6771613,4.459431619,11,152.1201151,176,48
cinnamyl cinnamate,cinnamyl cinnamate,C1=CC=C(C=C1)C=CCOC(=O)C=CC2=CC=CC=C2,"sweet,balsam,floral",0,Jasmine,14.9586322,0,0,0.212785129,12,12,36,3124.947204,1184.192288,1.436204197,83.38390761,16.01398756,583.3299917,37,1,14.04575931,23.76422064,0.66011724,109.7876774,461,0,9.666666667,0.034482759,26.75,61.02,0.527777778,2,0,1.251629167,215.8,118.5740113,40.40766586,21,42.332688,18.655312,2,5,3.9564,0.25586834,14,1,26.3,267.2235985,5.392317423,21,264.1150298,1066,92
