Name,Common name,SMILE,Odor,target,Odor Class,ABCIndex,Acidic Group Count,Basic Group Count,Adjacency Matrix,Aromatic Atom Count,Aromatic Bond Count,Atom Count,Autocorrelation ATS,Autocorrelation ATSC,BalabanJ,Barysz Matrix ,BCUT,BertzCT,BondCount,CarbonTypes,Chi,ConstitutionalSum,ConstitutionalMean,DistanceMatrix,EccentricConnectivityIndex,AtomTypeEState,EtaCoreCount,EtaShapeIndex,EtaVEMCount,FragmentComplexity,Framework,HBondAcceptor,HBondDonor,InformationContent,VMcGowan,LabuteASA,MID,PathCount,APol,Bpol,RingCount,nRot,SLogP,JGT10,Diameter,TopoShapeIndex,TopoPSA,Vabc,VAdjMat,MWC01,MW,WPath,Zagreb1
allylethyl persulfide,ethyl allyl disulphide,CCSSCC=C,"Alliceous, onion, garlic-like",1,Alliaceaous,4.242640687,0,0,0.359095678,0,0,17,2787.168445,1726.909326,2.447472888,8.963340064,32.16050671,43.34481289,16,3,5.535533906,10.08324852,0.593132266,16.6253823,54,0,4.166666667,0.24,4,6.02,0,2,0,1.332820405,109.71,53.15559859,12.83378878,6,20.81793,12.49207,0,4,2.5737,0.213472222,6,1,0,129.4179751,3.584962501,6,134.0223923,56,22
n-butyl sulfide,dibutyl sulfide,CCCCSCCCC,"green, grassy, violet-leaf ",1,Alliaceaous,5.656854249,0,0,0.313732835,0,0,27,2200.24572,1407.603155,2.595082707,22.41690065,32.06099799,37.83229392,26,4,6.949747468,14.06350499,0.520870555,27.74218932,96,0,4.833333333,0.206896552,4,8.01,0,1,0,1.086048612,139.93,63.41695585,16.82976754,8,28.262274,20.517726,0,6,3.3198,0.174198696,8,1,0,165.4333652,4,8,146.1129216,120,30
ethyl- 3-(furfurylthio)propionate,ethyl 3-(furfurylthio)propionate,CCOC(=O)CCSCC1=CC=CO1,"Onion, garlic, sulfuraceous",1,Alliaceaous,10.00888474,0,0,0.222428189,5,5,28,3252.613709,1612.774786,1.877094306,40.96359612,32.06099829,256.340644,28,4,10.22576835,17.12424669,0.611580239,57.08002796,221,0,6.833333333,0.12195122,13.75,14.04,0.178571429,4,0,1.547457159,161.96,87.81356242,27.41792455,14,31.341102,20.844898,1,6,2.466,0.318062699,10,1,39.44,195.2301807,4.807354922,14,214.0663653,387,60
4-methyl thiazole,4-methyl thiazole,CC1=CSC=N1,"alliaceous, ripe,nutty",1,Alliaceaous,4.352030487,0,0,0.399872143,5,5,11,1806.176453,912.4563802,2.18410557,5.422547484,32.0622449,111.1085055,11,1,4.405777394,7.299587828,0.663598893,8.82187003,29,0,3.233333333,0.154639175,7.5,6.02,0.454545455,2,0,1.67673703,74.09,40.65635649,11.57549817,6,14.013965,8.616035,1,0,1.45152,0.341269841,3,0.5,12.89,78.71680807,3.584962501,6,99.01427016,26,26
Dipropyl disulfide,onion oil,CCCSSCCC,"obnoxious,sulfide,onion",1,Alliaceaous,4.949747468,0,0,0.334183486,0,0,22,2935.496822,1908.701876,2.530060457,14.04240854,32.16050681,31.509775,21,4,6.242640687,12.16690413,0.553041097,21.83635335,74,0,4.666666667,0.214285714,3.5,7.02,0,2,0,1.240670532,128.1,60.21014374,14.83110795,7,25.155102,16.504898,0,5,3.1878,0.19239229,7,0.75,0,149.3504192,3.807354922,7,150.0536924,84,26
1-(propyltrisulfanyl)propane,dipropyl trisulfide,CCCSSSCCC,"sulfureous,alliaceous,pungent",1,Alliaceaous,5.656854249,0,0,0.313732835,0,0,23,3963.340422,2517.495197,2.595082707,15.56017299,32.20218378,41.56763142,22,4,6.949747468,13.35395888,0.580606908,27.74218932,96,0,5.5,0.181818182,4,8.03,0,3,0,1.324969286,144.45,69.73321585,16.82976754,8,28.055102,16.504898,0,6,3.836,0.174198696,8,1,0,167.8594437,4,8,182.0257634,120,30
methanethiol,methane mercaptan,CS,"Vegetable oil, alliaceous, eggy",1,Alliaceaous,0,0,0,0.707106781,0,0,6,1176.171977,790.5222088,1,0.800640605,32.0606035,2,5,0,2,3.27071036,0.545118393,1,2,0,1.333333333,1,0.5,1.01,0,1,1,1.251629167,41.3,19.89431769,3,1,7.237172,6.472828,0,0,0.546,0,1,0,0,44.36146865,1,1,48.00337113,1,2
2-methyl-3-(methylthio)furan,dimethylthiofuran,CC1=C(C=CO1)SC,"spicy,pungent,alliaceous",1,Alliaceaous,5.725803935,0,0,0.332866804,5,5,16,2157.524839,1130.498606,2.303026599,9.344485927,32.06110277,168.7913934,16,1,5.983127663,10.06916507,0.629322817,15.75721258,51,0,4.166666667,0.24,9,8.02,0.3125,2,0,1.530639062,98.16,53.07872664,15.46523806,8,19.056344,12.221656,1,1,2.30992,0.421626984,4,1,13.14,111.1022449,4,8,128.0295859,61,36
bis(methylthio)methane,truffle sulfide,CSCSC,"pungent, metallic, alliaceous",1,Alliaceaous,2.828427125,0,0,0.430940108,0,0,13,2496.608075,1595.768145,2.190609687,3.328440831,32.06261203,12.36452798,12,0,4.121320344,7.541420721,0.580109286,8.288215752,24,0,3.166666667,0.315789474,2,4.02,0,2,0,1.334679141,85.83,41.71535531,8.849873734,4,16.144344,12.945656,0,2,1.6699,0.261574074,4,1,0,97.46246357,3,4,108.0067423,20,14
2-[(methyldisulfanyl)methyl]furan,methyl furfuryl disulfide,CSSCC1=CC=CO1,"roasted coffee, sulfurous,cooked meat",1,Alliaceaous,6.363961031,0,0,0.303739597,5,5,17,3185.368439,1674.79538,1.9786517,12.55364301,32.1605595,148.1012865,17,1,6.527097737,11.25621982,0.662130578,22.78262294,86,0,5,0.1,9,9.03,0.294117647,3,0,1.64571137,114.51,62.60179875,17.59254002,9,21.956344,12.221656,1,3,2.7908,0.26537037,6,1,13.14,129.6112693,4.169925001,9,160.0016569,99,38
"1,4-dithiane",p-dithane,C1CSCCS1,"seafood-like,solvent,garlic",1,Alliaceaous,4.242640687,0,0,0.40824829,0,0,14,2640.872196,1608.388483,2,5.475492563,32.06202271,21.01955001,14,4,4.242640687,8.541420721,0.61010148,9,36,0,3.666666667,0,3,6.02,0.428571429,2,0,1.378783493,89.06,47.07446627,11.8125,6,17.814344,12.945656,1,0,1.4664,0,3,0,0,102.4019898,3.584962501,6,120.0067423,27,24
2-acetyl 3-methyl pyrazine,2-acetyl 3-methyl pyrazine,CC1=NC=CN=C1C(=O)C,"roasted coffee, cocoa, popcorn",2,Coffee,7.318356982,0,0,0.296474416,6,6,18,1666.337458,636.4534738,2.39604491,17.16109104,16.01005175,257.5379489,18,2,7.560477932,11.39803745,0.633224303,23.44376108,76,0,4.633333333,0.287769784,13.75,10.03,0.333333333,3,0,1.633731421,107.26,59.12704752,19.38481891,10,20.026344,11.173656,1,1,0.98762,0.475758547,5,0.666666667,42.85,126.6098089,4.321928095,10,136.0636629,114,46
difurfuryl disulfide,coffee difuran,C1=COC(=C1)CSSCC2=CC=CO2,"sulfurous,coffee,furfuryl mercaptan",2,Coffee,10.60660172,0,0,0.263139004,10,10,24,4020.425052,1886.453766,1.457739514,31.65530672,32.16050747,303.8504001,25,2,9.639981913,16.51284673,0.688035281,54.6594049,222,0,7.333333333,0,16.5,43.04,0.583333333,4,0,1.650022422,157.28,90.45322222,28.36166019,15,30.77193,15.96407,2,5,3.9542,0.211098668,9,0.8,26.28,179.0560604,4.906890596,15,226.0122216,373,66
2-(furan-2-yloxy)furan,difuryl ether,C1=COC(=C1)OC2=CC=CO2,"coffee, nutty, earthy",2,Coffee,8.485281374,0,0,0.293401891,10,10,17,1928.113355,602.2358439,1.705949139,19.58070247,16.01548256,261.6984453,18,0,7.518661569,11.76988072,0.692345925,30.16898571,118,0,5,0,16,34.03,0.647058824,3,0,1.483659164,102.27,63.19070108,22.36262746,12,19.766758,11.227242,2,2,2.6649,0.231157407,6,1,35.51,116.2362679,4.584962501,12,150.0316941,162,54
furan-2-ylmethyl 3-methylbutanoate,fufuryl isovalerate,CC(C)CC(=O)OCC1=CC=CO1,"berry,fruity,grape",2,Coffee,9.520557555,0,0,0.25090564,5,5,27,2224.770109,995.0010734,2.030812976,37.46487647,16.01458885,249.1433914,27,3,9.681798276,15.93719194,0.590266368,45.82620358,166,0,6,0.222222222,13.25,13.03,0.185185185,3,0,1.374252785,145.61,77.6904524,25.24994238,13,28.441102,18.384898,1,4,2.3689,0.443350586,8,1,39.44,176.7211562,4.700439718,13,182.0942943,289,58
1-(furan-2-yl)ethanethiol,methyl furfuryl thiol,CC(C1=CC=CO1)S,"roasted coffee, sulfurous,cooked meat",2,Coffee,5.835193734,0,0,0.336615739,5,5,16,2157.524839,1130.498606,2.242040082,11.52859087,32.06060397,143.5719615,16,1,5.983127663,10.06916507,0.629322817,15.92690319,51,0,4.166666667,0.32,8.5,8.02,0.3125,2,1,1.530639062,98.16,54.11068328,15.42009782,8,19.056344,12.221656,1,1,2.2704,0.385185185,4,1,13.14,111.1022449,4,8,128.0295859,62,36
"3,6-dimethyl-4,5,6,7-tetrahydro-1-benzofuran",menthofuran,CC1CCC2=C(C1)OC=C2C,"diffusive, pungent,musty",2,Coffee,8.623180745,0,0,0.284743577,5,5,25,1712.834107,810.1801534,2.001279461,22.29763189,16.01028549,259.8365354,26,2,7.844934983,14.50759373,0.580303749,26.34121259,103,0,5.333333333,0.1875,10.5,34.01,0.36,1,0,1.182966195,127.31,67.40955392,22.28483786,12,26.837102,15.780898,2,0,2.71282,0.486837263,6,1,13.14,149.4207023,4.584962501,12,150.1044651,141,58
1-(furan-2-yl)ethanone,acetyl furan,CC(=O)C1=CC=CO1,"sweet balsam, almond, cocoa",2,Coffee,5.835193734,0,0,0.336615739,5,5,14,1383.617112,517.5705017,2.242040082,11.47338323,16.01150114,174.4184221,14,1,5.983127663,9.05508162,0.646791544,15.92690319,51,0,3.666666667,0.227272727,10.25,8.02,0.357142857,2,0,1.448815636,83.38,47.11713871,15.42009782,8,15.624758,8.623242,1,1,1.4822,0.385185185,4,1,30.21,98.7469884,4,8,110.0367794,62,36
5-methyl furfural,5-methyl furfural,CC1=CC=C(O1)C=O,"sweet, caramellic, bready",2,Coffee,5.766244049,0,0,0.333602758,5,5,14,1383.617112,517.5705017,2.218336754,11.31856192,16.01149886,188.1635346,14,1,5.983127663,9.05508162,0.646791544,16.32222086,59,0,3.666666667,0.227272727,10.25,8.02,0.357142857,2,0,1.448815636,83.38,47.11713871,15.46568272,8,15.624758,8.623242,1,1,1.40052,0.479907407,5,0.666666667,30.21,98.7469884,4,8,110.0367794,63,36
3-mercapto-3-methyl butyl formate,3-mercapto-3-methyl butyl formate,CC(C)(CCOC=O)S,"sulfurous,catty, caramelised onion",2,Coffee,6.133610117,0,0,0.29308786,0,0,21,2417.557096,1371.40622,3.072989461,19.77232214,32.06060411,85.54887502,20,3,7.328427125,11.86761978,0.565124752,23.96344545,76,0,4.5,0.481481481,6.25,8.03,0,3,1,1.509968613,119.19,60.99409559,16.43623173,8,22.525516,17.102484,0,4,1.2579,0.593833333,6,1,26.3,145.7853897,4,8,148.0558006,104,36
1-hydroxybutan-2-one,hydroxybutanone,CCC(=O)CO,"sweet,coffee,brown",2,Coffee,3.644923706,0,0,0.383465882,0,0,14,1097.120998,542.6447669,2.754184786,9.360840389,16.01023055,43.509775,13,2,4.991563832,7.596909424,0.542636387,10.74240473,29,0,2.666666667,0.4375,4.5,5.02,0,2,1,1.378783493,74.66,36.78983322,10.6758508,5,13.618344,8.893656,0,2,-0.0422,0.464583333,4,1,37.3,92.6843948,3.321928095,5,88.0524295,31,20
2-methylquinoxaline,2-methyl quinoxaline,CC1=CC2=C(C=C1C)N(C(=O)C(=O)N2)CC(C(C(CO)O)O)O,"toasted coffee, roasted coffee, nutty",2,Coffee,17.45321055,0,0,0.17414218,10,11,43,4112.483199,1666.160062,2.098837231,81.31199569,16.01288901,825.052513,44,4,17.3090366,26.2229998,0.609837205,103.4874193,397,0,10.3,0.291262136,24.75,70.08,0.23255814,7,5,1.645992759,234.17,130.8169091,45.40599279,24,45.39786,24.08014,2,5,-1.61836,0.578612979,11,0.833333333,135.78,283.0359076,5.584962501,24,324.1321364,1150,118
3-carene,carene,CC1=CCC2C(C1)C2(C)C,"citrus, terpenic,herbal",3,Citrus,8.04174241,0,0,0.280425192,0,0,26,1458.898234,745.0215938,2.036709021,21.36430104,12.30011555,186.2149912,27,3,7.353371151,14.33462243,0.551331632,22.21606521,84,0,5,0.3,6.5,31,0.269230769,0,0,0.961236605,125.74,63.32246472,19.76989887,11,27.368688,16.051312,2,0,2.9987,0.704612795,5,0.666666667,0,154.1669343,4.459431619,11,136.1252005,108,58
4-methyl-1-(6-methylhept-5-en-2-yl)cyclohex-3-en-1-ol,beta bisabolol,CC1=CCC(CC1)(C(C)CCC=C(C)C)O,"citrus, floral, tangy",3,Citrus,11.84857676,0,0,0.207194407,0,0,42,2446.34748,1268.983042,2.312113662,58.02042949,16.00204571,283.8100768,42,4,12.18179828,22.75856055,0.541870489,63.07732566,238,0,7.833333333,0.29787234,10.25,16.01,0.142857143,1,1,1.087203337,208.62,100.2576372,30.97314807,16,43.188618,26.083382,1,4,4.2302,0.637453814,10,1,20.23,259.1570874,5,16,222.1983655,485,76
