Name,Common name,SMILE,Odor,target,Odor Class,ABCIndex,Acidic Group Count,Basic Group Count,Adjacency Matrix,Aromatic Atom Count,Aromatic Bond Count,Atom Count,Autocorrelation ATS,Autocorrelation ATSC,BalabanJ,Barysz Matrix ,BCUT,BertzCT,BondCount,CarbonTypes,Chi,ConstitutionalSum,ConstitutionalMean,DistanceMatrix,EccentricConnectivityIndex,AtomTypeEState,EtaCoreCount,EtaShapeIndex,EtaVEMCount,FragmentComplexity,Framework,HBondAcceptor,HBondDonor,InformationContent,VMcGowan,LabuteASA,MID,PathCount,APol,Bpol,RingCount,nRot,SLogP,JGT10,Diameter,TopoShapeIndex,TopoPSA,Vabc,VAdjMat,MWC01,MW,WPath,Zagreb1
beta-ionyl acetate,beta-ionyl acetate,CC1=C(C(CCC1)(C)C)C=CC(C)OC(=O)C,"sweet berry, raspberry, violet jam, woody",0,Berry,12.67416205,0,0,0.196722438,0,0,41,2700.283353,1337.754426,2.425240734,55.90549692,16.01398919,347.9333206,41,5,13.05204176,22.93153185,0.559305655,67.07237407,242,0,8.166666667,0.346938776,12.75,17.02,0.146341463,2,0,1.195540811,210.19,104.7384707,32.83811266,17,42.657032,26.680968,1,3,4.0208,0.655443996,9,0.8,26.3,265.3108554,5.087462841,17,236.17763,552,82
perillyl acetate,perilla acetate,CC(=C)C1CCC(=CC1)COC(=O)C,"fruity, woody, raspberry",0,Berry,10.29661402,0,0,0.237698824,0,0,32,2261.394606,1081.94501,2.156041872,43.66744744,16.01398595,263.4952945,32,3,10.55204176,18.30604844,0.572064014,51.5964063,190,0,6.666666667,0.275,11.25,14.02,0.1875,2,0,1.247556249,167.92,85.6436444,27.25395873,14,33.646274,20.661726,1,3,2.8521,0.528546863,9,0.8,26.3,213.4228997,4.807354922,14,194.1306798,347,64
3-benzyl-4heptanone,morellone,CCCC(=O)C(CC)CC1=CC=CC=C1,"fruity, berry, woody",0,Berry,10.6755514,0,0,0.234487605,6,6,35,2295.986975,1103.306919,2.302597078,48.92139232,16.01005072,289.466827,35,2,11.09601184,20.13307714,0.575230775,54.99018535,204,0,7.333333333,0.181818182,15.25,15.01,0.171428571,1,0,1.136667851,185.93,92.51246213,29.37151484,15,37.51786,20.93214,1,6,3.6245,0.39189017,9,0.8,17.07,225.6881843,4.906890596,15,204.1514153,398,66
"Ethyl 2-methyl-3,4-pentadienoate",berry pentadienoate,CCOC(=O)C(C)C=C=C,"green, sweet, fruity",0,Berry,6.542300516,0,0,0.282175908,0,0,22,1678.241738,785.0147778,3.37592944,22.4279073,16.01398191,154.6405265,21,3,7.983127663,12.68056503,0.57638932,28.17204781,92,0,4.666666667,0.392857143,8.75,9.02,0,2,0,1.322179346,122.42,61.18970709,18.47916012,9,22.965516,14.642484,0,3,1.5267,0.47957483,7,0.75,26.3,156.5954178,4.169925001,9,140.0837296,135,38
p-Mentha-8-thiol-3-one,buchu mercaptan,CC1CCC(C(=O)C1)C(C)(C)S,"sulfury, minty, green ",0,Berry,9.07876717,0,0,0.267251687,0,0,30,2744.741963,1587.657497,2.565300112,29.70299151,32.06060425,180.7678258,30,3,9.353371151,16.77830409,0.559276803,31.96799227,106,0,6.166666667,0.432432432,7.75,12.02,0.2,2,1,1.29762623,158.82,80.33448767,23.00487925,12,32.404274,21.385726,1,1,2.7001,0.705522169,6,1,17.07,193.8226447,4.584962501,12,186.1078362,186,60
"2-[(1S)-2,2,3-trimethylcyclopent-3-en-1-yl]ethyl acetate",campholene acetate,CC1=CCC(C1(C)C)CCOC(=O)C,"sweet fresh lavender, floral, berry ",0,Berry,10.42228247,0,0,0.21820643,0,0,34,2263.426734,1130.198378,2.31500826,43.62270395,16.01398587,251.047344,34,5,10.76758471,18.84787625,0.554349301,48.26295372,175,0,6.666666667,0.35,10.25,14.02,0.147058824,2,0,1.221047785,172.22,86.33324743,26.96268247,14,34.97986,22.66814,1,3,2.932,0.649763416,8,1,26.3,216.0593587,4.807354922,14,196.1463299,326,68
E-beta -damascone,damascone,CC=CC(=O)C1=C(CCCC1(C)C)C,"fruity,floral,berry",0,Berry,10.293622,0,0,0.235045134,0,0,34,2151.722854,1064.074054,2.686418182,36.69256731,16.0100506,292.3574238,34,4,10.76758471,19.13307714,0.562737563,42.20935923,149,0,6.833333333,0.341463415,10.75,14.01,0.176470588,1,0,1.130278187,176.14,86.89504128,27.00228131,14,35.84786,20.93214,1,2,3.6582,0.620688838,7,0.75,17.07,221.928658,4.807354922,14,192.1514153,285,68
Ambrettolide,musk natural,C1CCCCOC(=O)CCCCCC=CCCC1,"sweet,soapy,musk",0,Berry,12.83731186,0,0,0.213848186,0,0,46,2848.61173,1463.725852,2.094596199,72.27602392,16.01398605,233.2514595,46,1,12.89105877,25.01518746,0.543808423,78.0448663,293,0,8.666666667,0.038461538,12.25,18.02,0.369565217,2,0,1.162563308,228.58,111.7930159,35.81963742,18,46.994204,30.693796,1,0,4.7806,0.128904967,9,0.125,26.3,285.2432996,5.169925001,18,252.2089301,701,74
iso-pentyl cinnamate,"cinnamic acid, isopentyl ester",CC(C)CCOC(=O)C=CC1=CC=CC=C1,"floral,amber,cocoa",0,Berry,11.6418779,0,0,0.216977512,6,6,34,2549.922848,1148.3598,1.979887527,57.60417662,16.01398517,339.012791,34,3,11.80311862,20.30604844,0.597236719,71.22960551,273,0,7.666666667,0.173913043,17.25,16.02,0.176470588,2,0,1.253297578,187.5,96.93640433,31.36138427,16,36.986274,20.661726,1,5,3.2891,0.377668629,11,0.833333333,26.3,231.8419523,5,16,218.1306798,551,70
ethyl-pentanoate,ethyl valerate,CCCCC(=O)OCC,"sweet,fruity,apple",0,Berry,5.766244049,0,0,0.303151528,0,0,23,1536.009745,799.1117029,2.954822573,22.2076955,16.01398117,78.98533617,22,3,7.112884175,12.22239284,0.531408384,25.02074591,83,0,4.166666667,0.32,6.25,8.02,0,2,0,1.264672679,116.93,56.20397104,16.65502353,8,22.629102,16.648898,0,4,1.7397,0.385368481,7,0.75,26.3,144.5723505,4,8,130.0993797,108,32
